FuncAddr			CpuTime		Percentage		SelfTime		Percentage		CallTimes		AvarageSelfTime
0x4ffff07349c4		1863				0.000000%		1863				0.000000%		15			124.200000
0x4ffff073f230		22132				0.000005%		19026				0.000005%		1			19026.000000
0x4ffff0734728		597				0.000000%		597				0.000000%		3			199.000000
0x4ffff07c4a60		95				0.000000%		95				0.000000%		1			95.000000
0x4ffff07f000c		16088280332				3.887363%		7203322591				1.740517%		1			7203322591.000000
0x4ffff074779c		2691				0.000001%		2691				0.000001%		4			672.750000
0x4ffff07a4300		461				0.000000%		461				0.000000%		3			153.666667
0x4ffff0b8beb4		240334				0.000058%		80030				0.000019%		1			80030.000000
0x4ffff0a774bc		1348822				0.000326%		6822				0.000002%		1			6822.000000
0x4ffff0a007a8		4583				0.000001%		4583				0.000001%		1			4583.000000
0x4ffff0777318		4182				0.000001%		4182				0.000001%		1			4182.000000
0x4ffff08011c8		4254				0.000001%		4254				0.000001%		1			4254.000000
0x4ffff06c98f0		796				0.000000%		796				0.000000%		2			398.000000
0x4ffff073f658		119313				0.000029%		119313				0.000029%		1			119313.000000
0x4ffff086aa18		12067014				0.002916%		12067014				0.002916%		33			365667.090909
0x4ffff0769c00		379				0.000000%		379				0.000000%		1			379.000000
0x4ffff076f204		19715				0.000005%		19715				0.000005%		2			9857.500000
0x4ffff0832624		221615				0.000054%		218129				0.000053%		1			218129.000000
0x4ffff07460d8		771				0.000000%		771				0.000000%		1			771.000000
0x4ffff0778140		1169				0.000000%		1169				0.000000%		5			233.800000
0x4ffff0778410		260919				0.000063%		48670				0.000012%		1			48670.000000
0x4ffff0801458		14150				0.000003%		14150				0.000003%		1			14150.000000
0x4ffff0980a3c		228781579				0.055280%		29404641				0.007105%		1			29404641.000000
0x4ffff077b628		533				0.000000%		533				0.000000%		2			266.500000
0x4ffff07f6944		681612				0.000165%		13526				0.000003%		1			13526.000000
0x4ffff0733304		968				0.000000%		968				0.000000%		6			161.333333
0x4ffff084d798		1308590				0.000316%		1308590				0.000316%		6			218098.333333
0x4ffff073931c		5481				0.000001%		5481				0.000001%		22			249.136364
0x4ffff07ef110		8884295982				2.146686%		1195997				0.000289%		9639			124.078950
0x4ffff07c4914		1053				0.000000%		1053				0.000000%		3			351.000000
0x4ffff096fed8		3073743				0.000743%		2636253				0.000637%		18			146458.500000
0x4ffff06ca5d4		44460				0.000011%		26591				0.000006%		4			6647.750000
0x4ffff07c7d64		13194				0.000003%		13194				0.000003%		3			4398.000000
0x4ffff07dd100		206134702				0.049808%		206134702				0.049808%		66			3123253.060606
0x4ffff095b848		57367				0.000014%		57367				0.000014%		1			57367.000000
0x4ffff06bbf30		413860984789				99.999994%		1509543563				0.364747%		1			1509543563.000000
0x4ffff087f660		5560098617				1.343470%		3532801075				0.853620%		66			53527289.015152
0x4ffff06c72c8		413861011003				100.000000%		26214				0.000006%		1			26214.000000
0x4ffff0bbf4e8		21630				0.000005%		21495				0.000005%		4			5373.750000
0x4ffff0731740		199672				0.000048%		7176				0.000002%		1			7176.000000
0x4ffff15c2384		2757				0.000001%		2757				0.000001%		4			689.250000
0x4ffff0a0a404		94				0.000000%		94				0.000000%		3			31.333333
0x4ffff077c214		1588875				0.000384%		1588875				0.000384%		1469			1081.603131
0x4ffff15c1214		62781357				0.015170%		62781357				0.015170%		57			1101427.315789
0x4ffff0732c20		1009				0.000000%		1009				0.000000%		6			168.166667
0x4ffff07f4890		16088319137				3.887373%		38805				0.000009%		1			38805.000000
0x4ffff073ee50		533				0.000000%		533				0.000000%		4			133.250000
0x4ffff0744b64		36				0.000000%		36				0.000000%		1			36.000000
0x4ffff0734b1c		965				0.000000%		965				0.000000%		5			193.000000
0x4ffff0746f68		955702				0.000231%		955702				0.000231%		11151			85.705497
0x4ffff09ce95c		1366				0.000000%		1366				0.000000%		1			1366.000000
0x4ffff0733e20		327				0.000000%		327				0.000000%		2			163.500000
0x4ffff0a6a9d0		35				0.000000%		35				0.000000%		1			35.000000
0x4ffff070fa50		55				0.000000%		55				0.000000%		1			55.000000
0x4ffff095dfa0		81806				0.000020%		81711				0.000020%		1			81711.000000
0x4ffff0b9c2cc		305618				0.000074%		279611				0.000068%		1			279611.000000
0x4ffff0780f3c		355531				0.000086%		355531				0.000086%		1			355531.000000
0x4ffff0730030		7509460				0.001814%		65719				0.000016%		1			65719.000000
0x4ffff0736450		16687027				0.004032%		533019				0.000129%		1			533019.000000
0x4ffff077a740		493				0.000000%		493				0.000000%		1			493.000000
0x4ffff0a64f6c		24319				0.000006%		24156				0.000006%		1			24156.000000
0x4ffff09e2b88		117442				0.000028%		113892				0.000028%		1			113892.000000
0x4ffff0866564		912153				0.000220%		912153				0.000220%		1			912153.000000
0x4ffff084e6f4		11375				0.000003%		11375				0.000003%		10			1137.500000
0x4ffff0bbe99c		4480732				0.001083%		115314				0.000028%		1			115314.000000
0x4ffff0747144		281				0.000000%		281				0.000000%		1			281.000000
0x4ffff0b203dc		36				0.000000%		36				0.000000%		1			36.000000
0x4ffff073325c		39				0.000000%		39				0.000000%		1			39.000000
0x4ffff0744454		140				0.000000%		140				0.000000%		3			46.666667
0x4ffff0a872e8		349448626677				84.436228%		127046517024				30.697870%		33			3849894455.272727
0x4ffff0849310		38				0.000000%		38				0.000000%		1			38.000000
0x4ffff073921c		846				0.000000%		846				0.000000%		3			282.000000
0x4ffff07c7238		2843				0.000001%		2843				0.000001%		8			355.375000
0x4ffff0b88d30		336615				0.000081%		336615				0.000081%		6			56102.500000
0x4ffff072e9c4		3460468				0.000836%		224312				0.000054%		28			8011.142857
0x4ffff0a55a20		70537518				0.017044%		70537518				0.017044%		2			35268759.000000
0x4ffff0734918		95				0.000000%		95				0.000000%		2			47.500000
0x4ffff0b744cc		378435455496				91.440229%		321340				0.000078%		1			321340.000000
0x4ffff0777588		7031				0.000002%		6824				0.000002%		1			6824.000000
0x4ffff0a01710		868700				0.000210%		852812				0.000206%		1			852812.000000
0x4ffff0777154		13068				0.000003%		13068				0.000003%		32			408.375000
0x4ffff0969e2c		1504				0.000000%		1504				0.000000%		2			752.000000
0x4ffff0733d78		402				0.000000%		402				0.000000%		2			201.000000
0x4ffff07fb5ec		654183223				0.158068%		46577				0.000011%		1			46577.000000
0x4ffff07447dc		90				0.000000%		90				0.000000%		2			45.000000
0x4ffff0733470		155				0.000000%		155				0.000000%		5			31.000000
0x4ffff0a6ead4		480				0.000000%		480				0.000000%		3			160.000000
0x4ffff07026bc		1107				0.000000%		1107				0.000000%		1			1107.000000
0x4ffff0739db8		17371				0.000004%		6593				0.000002%		1			6593.000000
0x4ffff09434b8		80302				0.000019%		80302				0.000019%		1			80302.000000
0x4ffff07c6254		378				0.000000%		378				0.000000%		1			378.000000
0x4ffff09f999c		35389				0.000009%		35389				0.000009%		4			8847.250000
0x4ffff09b7cd4		665146				0.000161%		186854				0.000045%		1			186854.000000
0x4ffff07c6d18		32087				0.000008%		32087				0.000008%		129			248.736434
0x4ffff08471fc		96047736				0.023208%		109189				0.000026%		1			109189.000000
0x4ffff0963b7c		230				0.000000%		230				0.000000%		1			230.000000
0x4ffff08a21bc		12921434992				3.122168%		5229359039				1.263554%		68			76902338.808824
0x4ffff07449a0		436				0.000000%		436				0.000000%		2			218.000000
0x4ffff06c947c		402940				0.000097%		208898				0.000050%		36			5802.722222
0x4ffff0b08fd4		7031151				0.001699%		85499				0.000021%		1			85499.000000
0x4ffff092e388		10794				0.000003%		10794				0.000003%		2			5397.000000
0x4ffff0776ca4		250				0.000000%		250				0.000000%		2			125.000000
0x4ffff09b3b3c		50518				0.000012%		50518				0.000012%		2			25259.000000
0x4ffff07c8d10		109984673				0.026575%		106061344				0.025627%		1			106061344.000000
0x4ffff0735cc8		432				0.000000%		432				0.000000%		2			216.000000
0x4ffff07c4ba4		184				0.000000%		184				0.000000%		2			92.000000
0x4ffff0700508		12018705				0.002904%		12018705				0.002904%		54			222568.611111
0x4ffff0a4a584		49198				0.000012%		38562				0.000009%		1			38562.000000
0x4ffff0747210		14350				0.000003%		14350				0.000003%		236			60.805085
0x4ffff07c69b8		1330				0.000000%		1330				0.000000%		3			443.333333
0x4ffff0b911b8		70130994				0.016946%		65733592				0.015883%		1			65733592.000000
0x4ffff086e2ac		11702				0.000003%		11702				0.000003%		1			11702.000000
0x4ffff07c6088		36				0.000000%		36				0.000000%		1			36.000000
0x4ffff096be58		1463				0.000000%		1463				0.000000%		1			1463.000000
0x4ffff06c9a44		11097				0.000003%		6901				0.000002%		1			6901.000000
0x4ffff0a64ba4		308				0.000000%		308				0.000000%		1			308.000000
0x4ffff0714120		29319977				0.007084%		39601				0.000010%		1			39601.000000
0x4ffff0746e20		64				0.000000%		64				0.000000%		1			64.000000
0x4ffff07bfa24		21361				0.000005%		21361				0.000005%		1			21361.000000
0x4ffff07c79b0		601470				0.000145%		601470				0.000145%		49			12274.897959
0x4ffff0735ef8		54				0.000000%		54				0.000000%		1			54.000000
0x4ffff0a0aebc		9536096				0.002304%		831267				0.000201%		1			831267.000000
0x4ffff073486c		549				0.000000%		549				0.000000%		15			36.600000
0x4ffff0733508		36				0.000000%		36				0.000000%		1			36.000000
0x4ffff0732fb0		324				0.000000%		324				0.000000%		1			324.000000
0x4ffff07c5318		715				0.000000%		715				0.000000%		1			715.000000
0x4ffff09af384		39				0.000000%		39				0.000000%		1			39.000000
0x4ffff072cb9c		697431				0.000169%		21042				0.000005%		2			10521.000000
0x4ffff0963ae4		52				0.000000%		52				0.000000%		1			52.000000
0x4ffff077b76c		7820				0.000002%		7820				0.000002%		64			122.187500
0x4ffff095b7b0		85				0.000000%		85				0.000000%		2			42.500000
0x4ffff07c50a4		335				0.000000%		335				0.000000%		1			335.000000
0x4ffff07770bc		323				0.000000%		323				0.000000%		1			323.000000
0x4ffff07437dc		670536				0.000162%		369514				0.000089%		8			46189.250000
0x4ffff09b38d0		725				0.000000%		725				0.000000%		2			362.500000
0x4ffff0a557e8		3639				0.000001%		3639				0.000001%		1			3639.000000
0x4ffff0830b34		2496				0.000001%		2496				0.000001%		2			1248.000000
0x4ffff07a0550		72				0.000000%		72				0.000000%		2			36.000000
0x4ffff09c68c0		1122				0.000000%		1122				0.000000%		2			561.000000
0x4ffff096d86c		59				0.000000%		59				0.000000%		1			59.000000
0x4ffff0969760		1233				0.000000%		1233				0.000000%		2			616.500000
0x4ffff07a409c		412				0.000000%		412				0.000000%		2			206.000000
0x4ffff0b9b5b0		503429				0.000122%		55124				0.000013%		1			55124.000000
0x4ffff15c0430		4221662079				1.020068%		4221662079				1.020068%		1			4221662079.000000
0x4ffff09cf738		1061				0.000000%		1061				0.000000%		1			1061.000000
